Boʻlinishi,Maydoni (kv.km),Aholisi
Andijon viloyati,4200.00,1899000.00
Buxoro viloyati,39400.00,1384700.00
Fargʻona viloyati,6800.00,2597000.00
Jizzax viloyati,20500.00,910500.00
Xorazm viloyati,6300.00,1200000.00
Namangan viloyati,7900.00,1862000.00
Navoiy viloyati,110800.00,767500.00
Qashqadaryo viloyati,28400.00,2029000.00
Qoraqalpogʻiston Respublikasi,160000.00,1200000.00
Samarqand viloyati,16400.00,2322000.00
Sirdaryo viloyati,5100.00,648100.00
Surxondaryo viloyati,20800.00,1676000.00
Toshkent viloyati,15300.00,4450000.00
